country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Cayman Islands,15/04/2018,01/07/2018,2,Y,0.4,NA,1.60E+07,Yes,1,0,USA,"50,000 USD",Available,15/12/2017,31/03/2018,NA,"ETH, BTC",https://whitepaper.dbrain.io,https://www.linkedin.com/company/dbrainio/,https://www.github.com/dbrainio?tab=repositories,https://dbrain.io?utm_source=icobench,3,11,1
UK,16/05/2018,16/08/2018,2.92E-02,N,0.7,NA,2.10E+08,Yes,1,0,NA,NA,Available,27/04/2018,15/05/2018,NA,"ETH, BTC",https://dicegame.io/pdf/Whitepaper.pdf,https://www.linkedin.com/company/zichain/,https://www.github.com/dicegame-platform?tab=repositories,https://dicegame.io?utm_source=icobench,3.6,11,1
Estonia,18/07/2018,19/07/2018,0.2362,Y,0.55,NA,NA,Yes,1,0,NA,NA,Available,16/07/2018,18/07/2018,NA,"ETH, BTC",https://disciplina.io/WhitePaper_eng.pdf,https://www.linkedin.com/company/disciplina-blockchain/,https://www.github.com/DiscipliNoneOU?tab=repositories,https://teachmeplease.io?utm_source=icobench,4.1,29,1
Singapore,01/02/2019,31/03/2019,0.2,Y,666,NA,399600000,Yes,1,0,NA,NA,NA,10/10/2018,30/01/2019,NA,"BTC, ETH, EOS",https://donocle.io/download/DONOCLE_WhitePaper_EN.pdf,NA,https://www.github.com/donocle1?tab=repositories,https://www.donocle.io/?utm_source=icobench,4,21,1
Zimbabwe,01/09/2018,01/02/2019,0.8,Y,0.7,NA,7.00E+08,No,0,0,USA,1 USD,Available,01/07/2018,31/07/2018,NA,"ETH, BTC",https://docs.google.com/document/d/1yN0K2AmW-iJIHIy4HQ3QA0GB3LvpTAZ1no7xBNWLWcU/edit?usp=sharing,https://www.linkedin.com/company/earthcycle/,https://www.github.com/orgs?tab=repositories,https://earthcycle.io?utm_source=icobench,3.3,9,0
Netherlands,01/03/2018,31/03/2018,7.00E-02,Y,0.4,NA,2.60E+08,Yes,1,0,"Bosnia, Herzegovina, North Korea, Ethiopia, Iran, Iraq, China, Sri Lanka, Syria, Trinidad, Tobago, Tunisia, Vanuatu, Yemen, USA",50 EUR,NA,NA,NA,NA,"NEO, GAS",https://effect.ai/download/effect_whitepaper.pdf,https://www.linkedin.com/company/effectai/,https://www.github.com/effectai?tab=repositories,https://www.effect.ai/?utm_source=icobench,3.6,14,0
Russia,14/05/2018,30/09/2018,0.01,Y,0.6,NA,NA,No,1,0,Russia,NA,Available,11/12/2017,24/12/2017,0.01,ETH,https://exchange.efir.io/assets/pdf/efir_io_WP-en.pdf,https://www.linkedin.com/company/efirio/,https://www.github.com/DenisShayahmetov?tab=repositories,https://exchange.efir.io?utm_source=icobench,3.9,8,1
Singapore,25/06/2018,09/07/2018,4.84E-02,N,0.5,NA,1.00E+09,Yes,1,0,"USA, China",0.1 ETH,Available,04/06/2018,25/06/2018,NA,ETH,https://ekkbaz.com/token-offer/whitepaper,https://www.linkedin.com/company/ekkbazcom/,https://www.github.com/EkkBaz?tab=repositories,https://ekkbaz.com/?utm_source=icobench,3.6,31,1
UK,01/06/2018,31/08/2018,0.174,N,0.55,NA,3.25E+08,Yes,1,0,USA,1 ENTRY,NA,03/05/2018,10/05/2018,0.11951,"BTC, ETH, DASH, Fiat",https://entry.money/ENTRY_Whitepaper_v1.pdf,https://www.linkedin.com/company/entry-money/,https://www.github.com/EntryMoney?tab=repositories,https://entry.money/?utm_source=icobench,3.8,20,0
Singapore,01/06/2018,01/10/2018,2.10E-02,Y,0.65,NA,1.95E+09,Yes,1,0,NA,"10,000 ETT",Available,22/03/2018,30/05/2018,0.01,"ETH, BTC, LTC, BTH, EOS, MONERO",https://eternaltrusts.com/docs/wpen.pdf,https://www.linkedin.com/company/eternal-trusts/,https://www.github.com/eterNoneltrusts?tab=repositories,https://eternaltrusts.io/token?utm_source=icobench,4.5,14,0
