country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Hungary,31/01/2018,31/05/2018,114,Y,0.6,NA,3.60E+07,Yes,0,0,NA,NA,NA,22/10/2017,31/01/2018,6.52E-02,"ETH, XEM, XRP",NA,https://www.linkedin.com/company/reporter-community/,https://www.github.com/ReporterCommunity?tab=repositories,http://www.reportercommunity.tech/?utm_source=icobench,3.6,8,1
Slovenia,21/03/2018,30/04/2018,0.05,Y,0.7,10722538326,570500000,No,1,0,USA (only accredited investors can participate),0.5 ETH,NA,21/02/2018,21/03/2018,4.80E-02,ETH,https://www.robotinaico.com/documents/Robotina_WP.pdf,NA,https://www.github.com/RobotiNoneico?tab=repositories,https://www.robotinaico.com?utm_source=icobench,3.7,23,1
France,01/11/2017,01/12/2017,0.47,N,0.8,NA,8.00E+07,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://www.rockchain.org/RockchainWhitePaper.pdf,https://www.linkedin.com/company/r0ckchain/,https://www.github.com/AlphaDinoRC?tab=repositories,https://rockchain.org/token.html?utm_source=icobench,3.5,15,1
Ukraine,27/04/2020,26/07/2020,7.04E-02,N,1,NA,1.00E+06,Yes,0,0,NA,100 000,NA,01/03/2020,26/04/2020,7.01E-02,"ETH, nEUR",https://sapienwallet.com/#popup-open-whitepaper,https://www.linkedin.com/company/sapien-wallet/,None,https://sapienwallet.com/?utm_source=icobench,3.2,7,1
UK,01/05/2018,31/07/2018,9.20E-03,Y,0.5,NA,5.00E+08,No,0,0,None,NA,NA,NA,NA,NA,ETH,https://saturn.network/saturn_network_whitepaper.pdf,NA,https://www.github.com/rados-io?tab=repositories,https://saturn.network?utm_source=icobench,3.2,NA,1
Cyprus,11/02/2018,11/03/2018,0.228,Y,0.68,NA,122400000,NA,0,0,NA,NA,NA,11/12/2017,11/01/2018,NA,ETH,https://www.scrinium.ai/Scrinium_Whitepaper.pdf,NA,https://www.github.com/scriniumai?tab=repositories,http://scrinium.ai?utm_source=i<U+0441>obench.com&utm_medium=listing,3.1,16,1
Austria,05/02/2018,31/03/2018,0.702,Y,885,NA,7946730,No,0,0,"USA, Singapore, China",0.1 ETH,NA,NA,NA,NA,"ETH, BTC, LTC",https://shift.cash/wp/shiftcash.en.pdf,NA,https://www.github.com/franzzhuber?tab=repositories,https://shift.cash?utm_source=icobench,3.4,13,1
Switzerland,01/06/2018,09/08/2018,0.2,N,0.6,NA,6.00E+08,No,0,0,USA,250 USD,NA,28/04/2018,15/05/2018,0.05,"ETH, BTC, LTC",https://www.shopiblock.io/pdf/Shopiblock_Whitepaper.pdf,https://www.linkedin.com/company/shopiblock/,https://www.github.com/Shopiblock?tab=repositories,https://www.shopiblock.io?utm_source=icobench,3.2,7,1
Germany,31/12/2018,15/04/2019,7.00E-02,Y,0.6,NA,2.40E+08,No,1,0,"USA, China",1 ETH,Available,03/12/2018,31/12/2018,3.50E-02,ETH,https://skynavpro.io/wp-content/uploads/ICO_sky[nav]pro_Whitepaper.pdf,https://www.linkedin.com/company/skynavpro/,None,https://skynavpro.io/?utm_source=icobench,3.2,13,1
Brazil,10/11/2018,08/12/2018,7.00E-02,N,0.5,NA,2.50E+08,Yes,0,0,"USA, China, New Zealand, Canada, Cuba, North Korea, Serbia, Tunisia, Somalia, Zimbabwe, Congo, South Sudan, Sudan, Turkey, Iran, Iraq, Libya, Syria, Ethiopia, Yemen, Sri Lanka, Venezuela",NA,Available,25/10/2018,09/11/2018,0.04,"XEM, BTC, BCH, ETH",http://www.smartleagueofficial.com/whitepaper.pdf,https://www.linkedin.com/company/smartleague/,None,https://www.smartleagueofficial.com/?utm_source=icobench,3.2,NA,0
Russia,15/05/2018,29/08/2018,1.00E-03,N,0.5,NA,NA,No,0,0,NA,10000 STO,NA,06/04/2018,15/04/2018,7.00E-04,ETH,http://www.smarto.im/images/docs/wp-eng.pdf,https://www.linkedin.com/company/smartoproject/,https://www.github.com/SmartOProject?tab=repositories,http://www.smarto.im/en?utm_source=icobench,3.4,12,1
Canada,18/01/2018,18/03/2018,0.35,N,NA,NA,255200,Yes,1,0,"Canada, China, South Korea",NA,NA,NA,NA,NA,ETH,https://drive.google.com/open?id=1jl2pYzMCkfmprcjxdLlIuYACBrwIJ1cX,https://www.linkedin.com/company/smartrefer/,https://www.github.com/SmartRefer?tab=repositories,https://smartrefer.io/?utm_source=icobench,3.1,8,1
Philippines,15/03/2018,30/06/2018,8.70E-03,N,1,NA,2.40E+10,No,0,0,None,NA,NA,NA,NA,NA,NA,https://onlinegamecoin.com/wp-content/uploads/2018/03/SBWP_ver02_ENG_180319.pdf,NA,https://www.github.com/gamelimited?tab=repositories,https://onlinegamecoin.com/?utm_source=icobench,1.5,1,1
Finland,27/09/2017,14/11/2017,0.7437,Y,NA,NA,5.40E+07,NA,0,0,NA,NA,NA,14/07/2017,11/08/2017,NA,ETH,http://soma.co/wp-content/uploads/2017/07/soma_whitepaper_v_4.pdf,https://www.linkedin.com/company/soma-sct/,https://www.github.com/Soma-co?tab=repositories,http://soma.co/?utm_source=icobench,3.3,13,1
Switzerland,26/08/2019,24/11/2019,2.39E-02,Y,0.6,NA,6.00E+08,No,0,0,"USA, Singapore, China, North Korea, Afghanistan, Pakistan, Iran, Syria, Yemen, Somalia, Sudan, South Sudan, Central African Republic",0.00025 ETH,NA,NA,NA,NA,"BTC, BTC Cash, ETH, Dash, Ripple, Monero, LTC",https://soraix.com/static/whitepaper.pdf,NA,https://www.github.com/Soraix?tab=repositories,https://www.soraix.com/?utm_source=trackers&utm_medium=free&utm_campaign=icobench-com,3.9,17,1
UK,12/02/2018,09/04/2018,0.14,Y,0.65,NA,6.50E+08,No,0,0,"USA, Singapore",NA,NA,NA,NA,1,"ETH, BTC, LTC,Fiat",https://sphere.social/wp-content/uploads/2017/12/Sphere_Whitepaper_v1.7.4.pdf,NA,https://www.github.com/spheresocial?tab=repositories,https://sphere.social/?utm_source=icobench,3.1,8,1
Cyprus,01/08/2018,31/08/2018,0.05,Y,0.5,NA,5.00E+08,No,1,0,USA,NA,NA,05/06/2018,31/07/2018,0.04,ETH,https://sportco.io/assets/whitepaper.pdf,https://www.linkedin.com/company/sportco-io/,None,https://www.sportco.io?utm_source=icobench,3.5,8,1
Russia,10/11/2017,15/01/2018,2,Y,0.6,NA,2.00E+07,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://srg.io/files/srg_white_paper_eng.pdf,https://www.linkedin.com/company/srg-limited1/,https://www.github.com/SRG-community?tab=repositories,https://srg.io/?utm_source=icobench,3.3,13,1
Japan,09/11/2017,24/11/2017,0.1,Y,NA,NA,1.25E+08,NA,0,0,NA,NA,NA,15/09/2017,22/09/2017,NA,"ETH, BTC",https://starbase.co/whitepaper,https://www.linkedin.com/company/starbaseco/,https://www.github.com/starbaseco?tab=repositories,https://starbase.co/crowdsale?utm_source=icobench,3.2,10,1
USA,10/01/2018,10/02/2018,0.02,Y,0.5,NA,NA,NA,0,0,NA,NA,NA,08/12/2017,05/01/2018,NA,"XLM, ETH, BTC, LTC",https://token.sureremit.co/SureRemit-WhitePaper-v.1.21.pdf,https://www.linkedin.com/company/suregroup/,None,https://token.sureremit.co/?utm_source=icobench,3.7,9,0
Peru,01/04/2019,31/05/2019,0.05,Y,0.5,NA,4.95E+08,Yes,1,0,"Bolivia,  China, Corea del Norte",50 USD,NA,01/12/2018,31/03/2019,2.50E-02,"ETH, BTC, LTC",https://synapsecoin.net/Content/img/en-US/SYNAPSECOIN%20WHITEPAPER%20VERSSION%201.1.pdf,https://www.linkedin.com/company/synapsecoinlinkedin/,https://www.github.com/SYNonePSECOIN?tab=repositories,https://synapsecoin.io?utm_source=icobench,3.2,13,1
Portugal,03/02/2018,14/08/2018,0.45,N,0.85,NA,5.00E+08,No,1,0,NA,10 EUR,NA,NA,NA,1 TWEX = 0.30 EUR,"BTC, ETH, Fiat",https://docs.wixstatic.com/ugd/2bcd3e_9b05ca3d9d5c4a51b945ba8509735c14.pdf,https://www.linkedin.com/company/twexinfo/,https://www.github.com/TagWorldExchange?tab=repositories,http://twex.info/?utm_source=icobench,3.8,26,1
UK,15/02/2019,15/07/2019,0.01,Y,0.25,NA,2.00E+09,Yes,0,0,"USA, China",NA,Available,01/01/2019,14/02/2019,NA,ETH,NA,https://www.linkedin.com/company/the-collectivego/,None,https://www.thecollectivegroup.org/ico/index.html?utm_source=icobench,3.2,27,1
Luxembourg,25/04/2018,20/07/2018,2.99E-02,Y,0.5,NA,5.00E+08,No,1,0,Turkey,"10,000 TICK",NA,NA,NA,1 TICK = 0.0000651 ETH,"ETH, BTC, BCH, LTC, DASH, XMR",https://ticko.io/bundle/upload/TICKO_Whitepaper.pdf,NA,https://www.github.com/tickoio?tab=repositories,https://www.ticko.io?utm_source=icobench,3.4,6,1
USA,01/01/2017,18/01/2018,1,Y,NA,NA,NA,NA,0,0,NA,NA,NA,01/12/2017,31/12/2017,0.8,ETH,NA,NA,https://www.github.com/tbis-inc?tab=repositories,https://tbis.io/?utm_source=icobench,3.4,15,1
Indonesia,15/01/2018,05/02/2018,0.2037,Y,NA,NA,1.10E+08,No,0,0,NA,NA,NA,NA,NA,1 TEN = 0.0000125 BTC,"BTC, ETH",https://www.tokenomy.com/whitepaper/TOKENOMY_WHITEPAPER_en.pdf,https://www.linkedin.com/company/tokenomy/,https://www.github.com/tokenomy?tab=repositories,https://www.tokenomy.com/?utm_source=icobench,3.2,NA,1
Russia,10/09/2017,31/10/2017,0.6458,Y,0.6,NA,9.90E+07,NA,0,0,NA,100 ACE,NA,01/08/2017,30/08/2017,NA,"BTC, ETH",http://ace.tokenstars.com/upload/files/ace_by_tokenstars_whitepaper.pdf,https://www.linkedin.com/company/tokenstars/,https://www.github.com/token-stars?tab=repositories,http://ace.tokenstars.com/?utm_source=icobench,3,NA,1
Singapore,28/10/2018,18/11/2018,NA,Y,0.7,NA,1.40E+10,No,0,0,China,0.01 ETH,NA,NA,NA,NA,ETH,https://touristreview.io/white-paper.pdf,https://www.linkedin.com/company/cybermiles/,https://www.github.com/tretchainvn?tab=repositories,https://touristreview.io/?utm_source=icobench,3.2,6,1
Russia,10/12/2017,12/03/2018,2.30E-02,Y,0.33,NA,6.93E+08,NA,0,0,NA,NA,NA,NA,NA,NA,"BTC, ETH",http://www.travelchain.io/technical_whitepaper.pdf,NA,https://www.github.com/TravelChain?tab=repositories,http://www.travelchain.io/?utm_source=icobench,3.6,14,0
Norway,01/06/2018,31/07/2018,0.08,Y,375,NA,3.75E+08,Yes,1,0,"USA, China",NA,NA,NA,NA,NA,"ETH, BTC",https://www.triwer.io/triwer_wp_1.1.pdf,NA,https://www.github.com/triwer?tab=repositories,https://www.triwer.io?utm_source=icobench,3.3,16,1
Spain,12/06/2018,30/09/2018,0.05,Y,0.6,NA,NA,Yes,1,0,"China, USA",0.05 ETH,NA,10/05/2018,11/06/2018,NA,"ETH, BTC, XEM, LTC, BCH, ZCASH, DASH, USD",https://lib.tutellus.com/ico/pdf/tutellus.io_whitepaper_v3.19_en.pdf,https://www.linkedin.com/company/tutellus-io/,https://www.github.com/tutellus-io?tab=repositories,https://www.tutellus.io/?utm_source=icobench,3.7,9,0
UK,15/10/2018,01/03/2019,0.4621,N,0.8,NA,4.00E+08,NA,0,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, BCH, Fiat",https://s3.ap-south-1.amazonaws.com/twexfiles/Files/TAG+WORLD+EXCHANGE+-+WHITEPAPER.pdf,https://www.linkedin.com/company/twexinfo/,https://www.github.com/TagWorldExchange?tab=repositories,https://twex.info/?utm_source=icobench,3.2,NA,1
Argentina,01/07/2018,30/08/2018,0.1392,N,0.54,NA,1.08E+08,No,0,0,None,1 ETH,Available,NA,NA,NA,ETH,http://umewin.com/whitepaper.pdf,NA,https://www.github.com/Umewin?tab=repositories,https://umewin.com?utm_source=icobench,3.2,5,1
Singapore,10/04/2019,12/04/2019,0.05,Y,NA,NA,1.00E+09,Yes,1,0,NA,1 ETH,NA,NA,NA,NA,ETH,https://s3.us-east-2.amazonaws.com/unification-wp-content-1528371022/wp-content/uploads/documents/whitepaper/UnificationWhitePaper3.pdf,https://www.linkedin.com/company/unificationfoundation/,None,https://www.unification.com?utm_source=icobench,3.2,15,1
India,24/04/2018,04/07/2018,0.12,Y,0.23,NA,49680000,Yes,0,0,USA,60 USD,NA,NA,NA,NA,"KMD, BTC, BCH, LTC",https://utrum.io/docs/utrum_white_paper.pdf,https://www.linkedin.com/company/utrum/,https://www.github.com/utrum?tab=repositories,https://utrum.io/?utm_source=icobench,3.2,5,0
Unknown,01/09/2018,30/10/2018,0.4922,N,625,NA,13125000,No,0,0,None,NA,NA,24/07/2018,29/08/2018,0.599216233,ETH,http://vantumnetwork.co/wp-content/uploads/2018/08/5_6289655502464876605.pdf,NA,https://www.github.com/vantumnetwork?tab=repositories,http://vantumnetwork.co?utm_source=icobench,3.2,4,1
Indonesia,01/06/2019,31/07/2019,0.08,N,0.3,NA,63000235,Yes,0,0,"China, USA, Singapore",NA,NA,01/05/2019,31/05/2019,NA,"ETH, BTC, XLM, USD, EUR, IDR",https://vimeetoken.tech/wp-content/uploads/2019/03/VIMEE%20WHITEPAPER%20V%201.1.pdf,https://www.linkedin.com/in/vimee-enterprise-b37832185/,https://www.github.com/VIMeeToken?tab=repositories,http://vimeetoken.tech/?utm_source=icobench,3.2,8,0
Switzerland,17/02/2019,17/09/2019,7.00E-02,N,0.65,NA,214500000,No,1,0,"Japan, USA",100 USD,NA,NA,NA,NA,Ethereum,https://vip2fan.com/downloads/Whitepaper-vip2fan-Idoru_EN.pdf,https://www.linkedin.com/company/vip2fan/,https://www.github.com/vip2fan?tab=repositories,https://vip2fan.com?utm_source=icobench,2.6,13,1
Switzerland,26/09/2018,30/11/2018,8.63E-02,N,0.45,NA,1.75E+08,Yes,1,0,"USA, China, South Korea",NA,NA,01/07/2018,31/07/2018,0.173546802,ETH,https://static.volair.io/volair-white-paper.pdf,https://www.linkedin.com/company/volairlife/,https://www.github.com/VolAir?tab=repositories,https://volair.io?utm_source=icobench,3.2,6,1
USA,01/10/2018,31/10/2018,9.20E-03,N,0.6,NA,6.00E+08,No,0,0,"US, Canada, China",0.1 ETH,NA,31/07/2018,30/09/2018,NA,ETH,https://www.vutoken.io/whitepaper,NA,https://www.github.com/Ukledo?tab=repositories,https://www.vutoken.io/?utm_source=icobench,3.2,21,1
Switzerland,12/04/2016,31/05/2016,188,Y,0.85,14992,8.50E+07,No,0,0,NA,NA,Available,NA,NA,NA,BTC,https://wavesplatform.com/files/images/whitepaper_v0.pdf,https://www.linkedin.com/company/waves-platform/,https://www.github.com/wavesplatform?tab=repositories,https://wavesplatform.com?utm_source=icobench,4.3,25,0
USA,16/05/2018,30/06/2018,0.1,Y,NA,NA,6.00E+08,Yes,1,0,NA,NA,NA,16/04/2018,15/05/2018,NA,"BTC, BTH, ETH, LTC, Fiat",https://joinwell.io/docs/joinwell-whitepaper-en.pdf,https://www.linkedin.com/company/joinwell/,https://www.github.com/joinwell?tab=repositories,https://joinwell.io/?utm_source=icobench,3.5,10,1
Gibraltar,01/02/2018,02/02/2018,125,Y,0.1,NA,8.00E+07,Yes,1,0,USA,NA,NA,22/09/2017,23/10/2017,NA,ETH,https://drive.google.com/file/d/0B_OW_EddXO5RWWFVQjJGZXpQT3c/view,https://www.linkedin.com/company/18219225/,https://www.github.com/WePowerNetwork?tab=repositories,https://www.wepower.network/?utm_source=icobench,4.2,20,1
Gibraltar,01/07/2018,01/09/2018,2.06E-02,N,0.6,NA,6.00E+08,Yes,1,0,"USA, China.",0.1 ETH,Available,NA,NA,NA,"IOTA, ETH, BCH, LTC",https://www.winiota.com/assets/winiota_whitepaper_official_english.pdf,https://www.linkedin.com/company/winiota/,None,https://www.winiota.com?utm_source=icobench,3.2,13,1
Cyprus,15/04/2018,30/09/2018,1.16E-02,Y,0.3,NA,1.50E+08,Yes,1,0,"USA, China",100 EUR,Available,NA,NA,NA,"ETH, BTC, LTC, Fiat",https://drive.google.com/file/d/11bxqmtOHbA_EhJHMukdDEYBXmcUAMPJJ/view?usp=sharing,https://www.linkedin.com/in/WixlarCoin/,https://www.github.com/wixlar?tab=repositories,https://wixlar.com/?utm_source=icobench,3.2,5,1
Singapore,03/10/2018,28/02/2019,4.90E-03,N,NA,NA,1.00E+09,No,1,0,NA,NA,NA,NA,NA,NA,ETH,https://raw.githubusercontent.com/xpowerchain/docs/master/xpower_wp_en.pdf,NA,https://www.github.com/xpowerchain?tab=repositories,http://xpower.one/english.html?utm_source=icobench,3.2,2,1
Switzerland,15/01/2018,24/01/2018,1.22,Y,0.34,NA,3.40E+07,NA,0,0,NA,NA,NA,NA,NA,NA,"BTC, ETH",https://x8currency.com/wp-content/uploads/X8-Project-TGE-Whitepaper.pdf,https://www.linkedin.com/company/x8-ag/,https://www.github.com/x8currency-project?tab=repositories,https://x8currency.com/?utm_source=icobench,3.4,20,1
Seychelles,20/05/2018,30/07/2018,1,N,0.6,NA,6.00E+07,No,0,0,NA,NA,NA,23/04/2018,06/05/2018,NA,ETH,https://yodse.io/doc/en/yodse-en-whitepapper.pdf,https://www.linkedin.com/in/yodse-io-6384b415a/,https://www.github.com/YODSE?tab=repositories,https://yodse.io?utm_source=icobench,3.2,16,1
Estonia,12/09/2017,12/10/2017,5,Y,NA,NA,1872221,NA,0,0,NA,NA,NA,NA,NA,NA,"BTC, ETH",https://drive.google.com/file/d/0B4EvJ422FyvbemJWWjRXcndQWnc/view,NA,https://www.github.com/zonto13?tab=repositories,https://ico.zonto.world/?utm_source=icobench,3.2,20,1
British Virgin Islands,19/12/2019,12/01/2020,0.17,N,0.01,NA,3.00E+07,No,0,0,"USA, Syria, North Korea, Iran, Iraq, Yemen",10 USD,Available,NA,NA,NA,"BTC, ETH, TRON, USDT",https://drive.google.com/file/d/1zSpzzN57VGvWHuGMK-4I3uAX30MoUqZc/view,https://www.linkedin.com/company/ez365/,None,https://180nf.io?utm_source=icobench,3,4,0
Estonia,21/09/2017,21/12/2017,2.70E-02,N,0.2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://www.acebusters.com/files/acebusters_whitepaper.pdf,https://www.linkedin.com/company/acebusters/,https://www.github.com/acebusters?tab=repositories,http://www.acebusters.com/?utm_source=icobench,3,NA,1
Estonia,13/11/2017,25/12/2017,375,N,0.8,NA,8.00E+07,NA,0,0,NA,0.1 ETH,NA,NA,NA,NA,"ETH, BTC, LTC, DASH",https://adpump.io/static/media/whitepaper.pdf?_=1510136333,https://www.linkedin.com/company/adpump/,None,https://adpump.io/?utm_source=icobench,3,6,1
United Arab Emirates,26/09/2017,26/10/2017,0.05,N,0.6,NA,4.80E+08,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://tokensale.afterschool.ae/wp-content/uploads/2017/09/afterschool-ico.pdf,https://www.linkedin.com/company/afterschool-ae/,None,https://tokensale.afterschool.ae/?utm_source=icobench,3.2,7,1
Switzerland,16/01/2018,01/02/2018,0.515,Y,0.3,NA,1.00E+08,NA,0,0,NA,NA,NA,20/11/2017,30/11/2017,NA,"BTC, ETH, USD, EUR, CHF",https://www.aidcoin.co/assets/documents/whitepaper.pdf,https://www.linkedin.com/company/aidcoin/,None,https://www.aidcoin.co/?utm_source=icobench,3.2,36,1
UK,02/05/2018,11/07/2018,0.5,N,0.5,NA,5.00E+07,Yes,1,0,NA,NA,NA,09/04/2018,01/05/2018,NA,ETH,http://tokensale.aigaming.com/wp-content/uploads/2018/04/AIGCWhitePaper.pdf,https://www.linkedin.com/company/aigaming/,https://www.github.com/aigc?tab=repositories,http://tokensale.aigaming.com/?utm_source=icobench,3,11,1
Switzerland,22/10/2018,09/12/2018,0.8,Y,NA,NA,1.00E+07,No,1,0,"Iran, North Korea",NA,NA,15/09/2018,10/10/2018,NA,ETH,http://aircraft.travel/docs/Aircraft_WhitePaper_v1.pdf,NA,None,https://aircraft.travel/?utm_source=icobench,3.5,14,1
Australia,01/05/2018,01/08/2018,0.2,N,0.5,NA,5.00E+07,No,0,0,"USA, China",0.1 ETH,NA,NA,NA,NA,ETH,https://airforcemining.com/white-paper,NA,None,https://airforcemining.net/?utm_source=icobench,3,4,1
USA,19/09/2017,19/10/2017,0.02,Y,NA,NA,1.05E+09,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://www.airtoken.com/paper/AirFoxICO_WhitePaper_v3.0.pdf,https://www.linkedin.com/company/funnytoken/,https://www.github.com/AirFoxOfficial?tab=repositories,https://www.airtoken.com/?utm_source=icobench,3.5,13,1
India,19/08/2018,22/10/2018,0.25,N,0.7,NA,212500000,No,1,0,NA,NA,NA,05/07/2018,18/08/2018,NA,ETH,https://aleefcoin.io/src/public/img/Aleef-Token-White-Paper.pdf,https://www.linkedin.com/company/fusion-foundation/,None,https://aleefcoin.io/?utm_source=icobench,3,3,1
Belize,15/06/2018,16/07/2018,0.4,N,0.28,NA,7.00E+06,No,0,0,NA,NA,NA,NA,NA,NA,"BTC, ETH, LTC",https://alicoin.cash/Whitepaper.pdf,NA,https://www.github.com/tonnyanderson?tab=repositories,https://alicoin.cash/en?utm_source=icobench,2.7,NA,1
India,25/11/2017,25/12/2017,1.276,N,NA,NA,5.00E+07,NA,0,0,NA,NA,NA,15/10/2017,05/11/2017,NA,"BTC, ETH",https://s3.eu-west-2.amazonaws.com/alloy-token/ico/Blockchain-Based-Universal-Rewards-Network.pdf,NA,https://www.github.com/codemojo-dr?tab=repositories,https://alloy.rewards.network/?utm_source=icobench,3,9,1
Estonia,16/04/2018,01/10/2018,1.65E-02,N,NA,NA,6.00E+08,No,0,0,NA,NA,NA,NA,NA,NA,ETH,https://tokensale.alphamarket.online/static/ico_backend/docs/Whitepaper_eng.pdf,NA,https://www.github.com/alphamarket-online?tab=repositories,https://tokensale.alphamarket.online/en/l/?utm_source=icobench,3,NA,1
Singapore,15/11/2019,30/11/2019,0.14,N,0.6,NA,2.10E+08,No,1,0,"USA, CHINA",100 USD,NA,01/11/2019,15/11/2019,NA,"ETH, BTC, USD",https://alt-top.io/whitepaper.pdf,https://www.linkedin.com/company/altotoken/,https://www.github.com/altotoken?tab=repositories,https://alt-top.io/?utm_source=icobench,2.5,4,1
Australia,21/06/2018,23/06/2018,0.03,Y,0.3,NA,NA,Yes,1,0,USA,NA,NA,01/03/2018,20/06/2018,1 ACG = 0.0285 USDT,"BTC, ETH",https://www.artchain.world/wp-content/uploads/2018/05/White-Paper-English-V1.32018.pdf,https://www.linkedin.com/company/artchain-global/,https://www.github.com/ArtChainGlobal?tab=repositories,https://www.artchain.world?utm_source=icobench,3,9,1
Czech Republic,12/10/2017,29/11/2017,0.535,N,0.96,NA,1.92E+08,NA,0,0,NA,NA,NA,NA,NA,NA,ETH,https://www.athenacoin.io/download/athena_whitepaper.pdf,NA,https://www.github.com/xatheNone?tab=repositories,https://www.athenacoin.io/?utm_source=icobench,3,11,1
Australia,29/07/2019,12/08/2019,0.01,N,0.6,NA,2.50E+10,No,0,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, Fiat",https://www.aussiedigital.io/uploads/Whitepaper.pdf,https://www.linkedin.com/company/aussiedigital/,https://www.github.com/aussiedigitalio?tab=repositories,https://www.aussiedigital.io/?utm_source=icobench,3,18,1
Germany,19/08/2017,31/12/2017,0.15,Y,0.33,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,"ETH, BTC, BCH, LTC, DASH, Fiat",https://www.authoreon.io/docs/Authoreon-Whitepaper-English.pdf,https://www.linkedin.com/company/authoreon-io/,None,https://www.authoreon.io/join-crowdsale?utm_source=icobench,2.9,8,1
Singapore,05/08/2018,05/09/2018,8.60E-03,N,0.2,NA,1.20E+09,No,1,0,"USA, China",0.1 ETH,NA,NA,NA,NA,ETH,https://avatar-network.io/wp-content/uploads/2018/07/Avatar_Network_WhitePaper_EN.pdf,https://www.linkedin.com/company/avatar-network/,https://www.github.com/AvatarNetwork?tab=repositories,https://avatar-network.io?utm_source=icobench,3.4,3,1
Panama,21/05/2018,30/09/2018,0.5,Y,0.65,NA,6.50E+07,Yes,1,0,"USA, China, North Korea",NA,NA,01/04/2018,30/04/2018,NA,"ETH, BTC, XLM, Fiat (USD, EUR, GBP and CHF)",http://www.axens.io/downloads/AXenS_Whitepaper.pdf,https://www.linkedin.com/company/axens.io/,https://www.github.com/axens-io?tab=repositories,http://www.axens.io?utm_source=icobench,3,8,0
Estonia,23/04/2018,22/05/2018,0.137,N,0.65,NA,6.50E+07,No,1,0,NA,0.1 ETH,NA,NA,NA,NA,ETH,https://ico.b2and.com/wp-content/uploads/B2AND-WHITEPAPER.pdf,https://www.linkedin.com/company/b2and-ltd/,None,https://ico.b2and.com?utm_source=icobench,3,6,1
Singapore,10/09/2018,20/09/2018,4.24E-02,N,0.2,NA,4.00E+08,Yes,1,0,"USA, China",1 ETH,NA,20/08/2018,30/08/2018,NA,ETH,http://www.bpshield.com/Backpack_Blockchain_Whitepaper_EN.pdf,NA,https://www.github.com/Py9595?tab=repositories,http://www.bpshield.com/xin_en/?utm_source=icobench,3,6,1
Estonia,14/05/2018,01/07/2018,0.7,N,0.7,NA,2.80E+08,Yes,1,0,NA,100 BCT,NA,30/04/2018,13/05/2018,0.5,"ETH, BTC, BCH, LTC, DASH, ETC, NEM, ZEC, FIAT",http://balticrypto.io/assets/images/Whitepaper.pdf,NA,https://www.github.com/BaltiCrypto?tab=repositories,https://www.balticrypto.io?utm_source=icobench,3,21,1
Russia,08/01/2018,02/03/2018,7.80E-02,Y,0.73,NA,NA,NA,0,0,NA,NA,NA,16/11/2017,21/11/2017,NA,ETH,https://drive.google.com/file/d/0B7fO3APTPxVdSjdTXzV0cjRKQ2s/view,https://www.linkedin.com/company/bazista/,None,http://bazista.io/?utm_source=icobench,3.6,7,1
Singapore,16/01/2018,13/02/2018,8.63,Y,NA,NA,NA,NA,0,0,NA,NA,NA,09/10/2017,15/12/2017,NA,ETH,https://bcshop.io/uploads/whitepaper/whitepaper_en.pdf,https://www.linkedin.com/company/bcshop-io/,https://www.github.com/bcshop-io?tab=repositories,https://bcshop.io/?utm_source=icobench,3.2,7,1
Estonia,01/04/2019,31/05/2019,3.19E-02,N,0.2,NA,1.00E+08,No,1,0,"USA, China",0.1 ETH,NA,01/01/2019,31/03/2019,7.10E-02,"ETH, BTC",http://bbtokens.io/whitepaper.pdf,https://www.linkedin.com/company/bbtoken/,None,https://www.bbtokens.io?utm_source=icobench,2.8,6,1
Singapore,28/05/2018,10/06/2018,0.29,Y,0.1625,NA,3.00E+08,No,1,0,NA,NA,NA,28/03/2018,10/04/2018,NA,ETH,https://bigbom.sgp1.digitaloceanspaces.com/files/landing-page/BIGBOM-WHITEPAPER-EN-1.1.0-Draft.pdf,https://www.linkedin.com/company/bigbom-bbo/,https://www.github.com/bigbomio?tab=repositories,https://bigbom.com/?utm_source=icobench,3.1,14,1
USA,20/04/2018,30/10/2018,1,Y,1,NA,1.00E+09,No,1,0,"USA, China",NA,NA,NA,NA,0.1,"BTC, ETH, LTC, BCC",https://bitcqr.io/BITCQR-White_Paper_2018.pdf,https://www.linkedin.com/company/bitcqr/,https://www.github.com/BitCQR?tab=repositories,https://www.bitcqr.io?utm_source=icobench,3,2,1
